timestamp,value
us-co 2018-01-31T02:28:00Z,21.89
us-co 2018-01-31T02:29:00Z,21.73
us-co 2018-01-31T02:30:00Z,26.03
us-co 2018-01-31T02:31:00Z,23.58
us-co 2018-01-31T02:32:00Z,18.73
us-co 2018-01-31T02:33:00Z,27.53
us-co 2018-01-31T02:34:00Z,25.9
us-co 2018-01-31T02:35:00Z,20.19
us-co 2018-01-31T02:36:00Z,21.35
us-co 2018-01-31T02:37:00Z,25.57
us-co 2018-01-31T02:38:00Z,23.31
us-co 2018-01-31T02:39:00Z,21.44
us-co 2018-01-31T02:40:00Z,23.45
us-co 2018-01-31T02:41:00Z,22.45
us-co 2018-01-31T02:42:00Z,23.98
us-co 2018-01-31T02:43:00Z,21.69
us-co 2018-01-31T02:44:00Z,22.78
us-co 2018-01-31T02:45:00Z,24.02
us-co 2018-01-31T02:46:00Z,23.75
us-co 2018-01-31T02:47:00Z,26.5
us-co 2018-01-31T02:48:00Z,25.14
us-co 2018-01-31T02:49:00Z,17.96
us-co 2018-01-31T02:50:00Z,17.14
us-co 2018-01-31T02:51:00Z,18.96
us-co 2018-01-31T02:52:00Z,20.87
us-co 2018-01-31T02:53:00Z,17.35
us-co 2018-01-31T02:54:00Z,23.24
us-co 2018-01-31T02:55:00Z,19.97
us-co 2018-01-31T02:56:00Z,15.41
us-co 2018-01-31T02:57:00Z,38.33
us-co 2018-01-31T02:58:00Z,36.46
us-co 2018-01-31T02:59:00Z,36.87
us-co 2018-01-31T03:00:00Z,26.66
us-co 2018-01-31T03:01:00Z,22
us-co 2018-01-31T03:02:00Z,22.32
us-co 2018-01-31T03:03:00Z,25.26
us-co 2018-01-31T03:04:00Z,25.29
us-co 2018-01-31T03:05:00Z,21.47
us-co 2018-01-31T03:06:00Z,18.58
us-co 2018-01-31T03:07:00Z,21.09
us-co 2018-01-31T03:08:00Z,22.26
us-co 2018-01-31T03:09:00Z,17.96
us-co 2018-01-31T03:10:00Z,24.99
us-co 2018-01-31T03:11:00Z,20.68
us-co 2018-01-31T03:12:00Z,19.34
